Строка;Было;Стало;Действие;Вердикт сверки;Наименование
20;ККО ?;ККО;снят «?»;OK;Техническое обследование состояния несущих конструкций помещения с подготовкой рекомендаций по усилению в зоне расположе
302;ИНФРАСТРУКТУРА ?;ИНФРАСТРУКТУРА;снят «?»;OK;"Раздвижная стеклянная перегородка Dorma, профильRAL 9017. Rw-45dB 
Под фальшполом предусмотреть звукоизоляционную отсечк"
308;ККО ?;ККО;снят «?»;OK;Цилиндр с заверткой для нижнего замка
309;ККО ?;ККО;снят «?»;OK;Цилиндр с заверткой для среднего замка
356;ККО;;очищено;НЕ ПОДТВЕРЖДЕНО;"Облицовка стен керамической плиткой 200*500  Amsterdam graphite  "" Ctramica Konskie"" с затиркой швов."
357;ККО;;очищено;НЕ ПОДТВЕРЖДЕНО;"Облицовка стен керамической плиткой 200*500 ""Graphit"" коллекциии ""Oxford"" "" Ctramica Konskie"" с затиркой швов."
358;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Облицовка стен керамической плиткой Mountain silver 25х50 с затиркой швов.
359;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Облицовка стен керамической плиткой Frida gray 30х60 с затиркой швов.
360;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Atlas Concorde Rin. Grey 60x120/Ринашенте Грей 60X120 с затиркой швов
361;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Atlas Concorde Rin. Grey 80x80/Ринашенте Грей 80X80 с затиркой швов
362;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Atlas Concorde Rinascente SMOKE 600х1200х9 с затиркой швов.
363;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Atlas Concorde Rinascente PEARL 600х1200х9 с затиркой швов.
364;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Atlas Concorde Rinascente IVORY 600х1200х9 с затиркой швов.
365;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Atlas Concorde  Forte dei Marmi Rock Tiffany White 60x120 Mat с затиркой швов
366;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Atlas Concorde  Forte dei Marmi Rock Tiffany White 80x160 Mat с затиркой швов
367;ККО;;очищено;НЕ ПОДТВЕРЖДЕНО;"Бордюр 500*15 ""Szklana T40""  коллекциии ""Oxford"" "" Ctramica Konskie"" с затиркой швов."
374;ИНФРАСТРУКТУРА ?;;очищено;НЕ ПОДТВЕРЖДЕНО;ДЕКОРАТИВНЫЕ АКУСТИЧЕСКИЕ ОБОИ Цвет: FE Light blue 60
375;ИНФРАСТРУКТУРА ?;;очищено;НЕ ПОДТВЕРЖДЕНО;ДЕКОРАТИВНЫЕ АКУСТИЧЕСКИЕ ОБОИ Цвет: FE Light blue 60
390;ККО;;очищено;НЕ ПОДТВЕРЖДЕНО;Устройство каркаса из бруса 100*200
391;ККО;;очищено;НЕ ПОДТВЕРЖДЕНО;Устройство лаг 75*75
392;ККО;;очищено;НЕ ПОДТВЕРЖДЕНО;Устройство пола в кассу из фанеры 1500*1500*12
401;ИНФРАСТРУКТУРА ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Установка фальшпола 600*600*38мм, тип 38 AL/ST, с учетом подрезки 10%
402;ИНФРАСТРУКТУРА ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Установка  фальшпола из сульфата кальция 600*600*30,5mm с учетом подрезки 10%
414;ККО;;очищено;НЕ ПОДТВЕРЖДЕНО;"Облицовка полов керамической плиткой 333*333 ""Dalia"" коллекциии ""Oxford"" "" Ctramica Konskie"" с затиркой швов."
415;ИНФРАСТРУКТУРА ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Облицовка полов керамогранитом Italon CONTEMPORA PURE 600*600 с затиркой швовов
419;ККО ?;ККО;снят «?»;OK;Облицовка полов керамогранитом  Creto Style Ivory 600*600 с затиркой швов
432;ИНФРАСТРУКТУРА ?;ИНФРАСТРУКТУРА;снят «?»;OK;Устройство полов из ПВХ-плитки Gerflor Creation 70 CLIFTON 0556
437;ИНФРАСТРУКТУРА ?;ИНФРАСТРУКТУРА;снят «?»;OK;Коммерческая ПВХ плитка KBS Dark Cocrete, толщина 4мм или 5мм, размер 600Х600мм, КМ2 с учетом клея фиксатора и подрезки
456;ИНФРАСТРУКТУРА ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Монтаж однопольного дверного блока (алюминиевый теплый профиль  3 петли, два врезных  замка сувального типа (количество 
457;ИНФРАСТРУКТУРА ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Монтаж полуторапольного дверного блока (алюминиевый теплый профиль  3 петли, два врезных  замка сувального типа (количес
458;ИНФРАСТРУКТУРА ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Монтаж двупольного дверного блока (алюминиевый теплый профиль  3 петли, два врезных  замка сувального типа (количество к
