Строка;Был тег;Раздел;Наименование;Действие
20;ККО;Р1;Техническое обследование состояния несущих конструкций помещения с подготовкой рекомендаций по усилению в зоне;очищено (нет в ББ)
689;ККО;Р5;Установка унитаза пр-во  JIKA BALTIC(в комплекте с бачком, сиденьем, запорной арматурой);очищено (нет в ББ)
690;ККО;Р5;Установка умывальника JIKA ZETA (в комплекте с пъедесталом JIKA, включая смеситель и гибкие подводки , сифон, ;очищено (нет в ББ)
691;ККО;Р5;Установка унитаза Jacob Delafon Escale 19038(в комплекте с бачком, сиденьем, запорной арматурой);очищено (нет в ББ)
692;ККО;Р5;Установка умывальника Jacob Delafon Escale E1211  гибкие подводки , сифон, кронштейны);очищено (нет в ББ)
693;ККО;Р5;Установка системы инсталяции Geberit Duofix UP320 111.300.00.5;очищено (нет в ББ)
694;ККО;Р5;Установка унитаза подвесного AlBANO BB120CHR, безободкового с креплением P-trap, с сиденьем ALBANO BB120SC и к;очищено (нет в ББ)
696;ККО;Р5;Установка унитаза подвесногоPure 36,5х54 см Арт. 8204230000001, сиденье для унитаза Pure дюропласт, с микролиф;очищено (нет в ББ)
706;ККО;Р5;R016367 Универсальная рама для монтажа писсуара Ideal Standard PROSYS;очищено (нет в ББ)
708;ККО;Р5;Установка унитаза пр-во  JIKA BALTIC(в комплекте с бачком, сиденьем, запорной арматурой);очищено (нет в ББ)
709;ККО;Р5;Установка  Умывальника SantiLine SL-2005  в комплекте с сифоном из нержавеющей стали  Viega 100674 Хром;очищено (нет в ББ)
719;ККО;Р5;Смеситель GROHE Eurosmart;очищено (нет в ББ)
724;ККО;Р5;Установка унитаза Ideal Standard Connect Cube E 8036 01 + Е7970 01 ( с крышкой дюропласт E 7128 01) в комплект;очищено (нет в ББ)
725;ККО;Р5;Установка унитаза Ideal Standard TONIC II (Напольный пристенный унитаз для монтажа с бачком, с сидением и крыш;очищено (нет в ББ)
727;ККО;Р5;Монтаж раковины Jacob Delafon Struktura 65x48 см фарфор, цвет белый (в комплекте с крепежом и сифоном хром);очищено (нет в ББ)
731;ККО;Р5;Установка писсуара Jika DOMINO без сенсора с отв.для распылителя 4110.1(в комплекте с  запорной арматурой);очищено (нет в ББ)
1061;ККО;Р8;Разветвитель FQG-B335A;очищено (нет в ББ)
1062;ККО;Р8;Разветвитель FQG-B506A;очищено (нет в ББ)
1063;ККО;Р8;Разветвитель FQZHN-01D MDV;очищено (нет в ББ)
1064;ККО;Р8;Разветвитель FQZHN-02D MDV;очищено (нет в ББ)
1065;ККО;Р8;Разветвитель FQZHN-03D MDV;очищено (нет в ББ)
1066;ККО;Р8;Разветвитель FQZHN-04D MDV;очищено (нет в ББ)
1067;ККО;Р8;Разветвитель FQZHN-05D MDV;очищено (нет в ББ)
1099;ККО;Р9;Кабель-канал DLP 105х50 мм Legrand, включая заглушки, уголки и разделители.;очищено (нет в ББ)
1113;ККО;Р9;Установка розетки двойной Schneider Electric Blanca с заземлением, открытый монтаж, цвет – Алюминий;очищено (нет в ББ)
1114;ККО;Р9;"Установка штепсельной розетки с заземлением в стену, 2P+E, с з/ш, DKC ""Avanti"", ""Белое облако"" (арт. 4400003),";очищено (нет в ББ)
1115;ККО;Р9;"Установка штепсельной розетки с заземлением  в стену, 2P+E, с з/ш, DKC ""Avanti"", ""Красный квадрат"" (арт. 44010";очищено (нет в ББ)
1116;ККО;Р9;"Установка штепсельной розетки с заземлением в стену, 2P+E, с з/ш, Legrand ""Etika"", с супортом и рамкой ""Белая""";очищено (нет в ББ)
1117;ККО;Р9;"Установка штепсельной розетки с заземлением в стену, 2P+E, с з/ш, Legrand ""Etika"", с супортом и рамкой ""Антрац";очищено (нет в ББ)
1118;ККО;Р9;"Установка одноклавишных выключателей  ""Legrand""  VALENA  с суппортом и  установочной коробкой Batibox";очищено (нет в ББ)
1119;ККО;Р9;"Установка двухклавишных выключателей  ""Legrand""  VALENA  с суппортом и  установочной коробкой Batibox";очищено (нет в ББ)
